chromosome	start	end	strand	gene_id	gene_id_base	gene_version	gene_name	gene_type	level	hgnc_id	havana_gene	tag
chr1	182146	201244	-	ENSG00000310527.1	ENSG00000310527	1	WASH9P	lncRNA	2			ncRNA_host,overlapping_locus,overlaps_pseudogene
chr1	182696	184174	+	ENSG00000279928.2	ENSG00000279928	2	DDX11L17	transcribed_unprocessed_pseudogene	2	HGNC:55080	OTTHUMG00000191962.1	overlapping_locus
chr1	185217	195411	-	ENSG00000279457.4	ENSG00000279457	4	WASH9P	transcribed_unprocessed_pseudogene	2	HGNC:53981	OTTHUMG00000191963.1	overlapping_locus
chr1	187891	187958	-	ENSG00000273874.1	ENSG00000273874	1	MIR6859-2	miRNA	3	HGNC:49954		
chr1	199108	199882	+	ENSG00000308625.1	ENSG00000308625	1	ENSG00000308625	lncRNA	2			
chr1	199948	201629	+	ENSG00000308544.1	ENSG00000308544	1	ENSG00000308544	lncRNA	2			
chr1	257864	359681	-	ENSG00000292994.2	ENSG00000292994	2	ENSG00000292994	lncRNA	2			overlapping_locus,overlaps_pseudogene
chr1	258568	259024	-	ENSG00000228463.11	ENSG00000228463	11	ENSG00000228463	transcribed_processed_pseudogene	1		OTTHUMG00000002552.3	pseudo_consens
chr1	258696	266103	+	ENSG00000306775.1	ENSG00000306775	1	ENSG00000306775	lncRNA	2			
chr1	266753	284291	+	ENSG00000286448.2	ENSG00000286448	2	ENSG00000286448	lncRNA	2		OTTHUMG00000194680.1	
chr1	347982	348366	-	ENSG00000236679.2	ENSG00000236679	2	RPL23AP24	transcribed_processed_pseudogene	1	HGNC:36176	OTTHUMG00000002854.4	pseudo_consens,overlapping_locus
chr1	356138	366052	+	ENSG00000236601.3	ENSG00000236601	3	ENSG00000236601	lncRNA	2		OTTHUMG00000002855.3	
chr1	365127	532459	-	ENSG00000290385.2	ENSG00000290385	2	ENSG00000290385	lncRNA	2			ncRNA_host,overlaps_pseudogene
chr1	439870	440232	+	ENSG00000269732.1	ENSG00000269732	1	WBP1LP7	processed_pseudogene	1	HGNC:43955	OTTHUMG00000002859.2	pseudo_consens
chr1	450740	451678	-	ENSG00000284733.2	ENSG00000284733	2	OR4F29	protein_coding	2	HGNC:31275	OTTHUMG00000002860.3	
chr1	485026	485208	-	ENSG00000237094.13	ENSG00000237094	13	ENSG00000237094	transcribed_unprocessed_pseudogene	2		OTTHUMG00000002857.7	
chr1	487101	489906	+	ENSG00000233653.3	ENSG00000233653	3	CICP7	transcribed_processed_pseudogene	1	HGNC:37756	OTTHUMG00000057429.3	pseudo_consens,overlapping_locus
chr1	491225	493241	-	ENSG00000250575.1	ENSG00000250575	1	ENSG00000250575	unprocessed_pseudogene	2		OTTHUMG00000002861.2	overlapping_locus
chr1	516376	516479	-	ENSG00000278757.1	ENSG00000278757	1	U6	snRNA	3			
chr1	586054	633129	-	ENSG00000293331.2	ENSG00000293331	2	ENSG00000293331	lncRNA	2			ncRNA_host,overlapping_locus
chr1	586945	827989	-	ENSG00000225880.7	ENSG00000225880	7	LINC00115	lncRNA	2	HGNC:26211	OTTHUMG00000141258.2	ncRNA_host,overlapping_locus,overlaps_pseudogene
chr1	587577	595116	+	ENSG00000235146.3	ENSG00000235146	3	ENSG00000235146	lncRNA	2		OTTHUMG00000002329.1	
chr1	629062	629433	+	ENSG00000225972.1	ENSG00000225972	1	MTND1P23	unprocessed_pseudogene	2	HGNC:42092	OTTHUMG00000002338.1	
chr1	629640	630683	+	ENSG00000225630.1	ENSG00000225630	1	MTND2P28	unprocessed_pseudogene	2	HGNC:42129	OTTHUMG00000002336.1	
chr1	631074	632616	+	ENSG00000237973.1	ENSG00000237973	1	MTCO1P12	unprocessed_pseudogene	2	HGNC:52014	OTTHUMG00000002333.2	
chr1	632325	632413	-	ENSG00000278791.1	ENSG00000278791	1	ENSG00000278791	miRNA	3			
chr1	632757	633438	+	ENSG00000229344.1	ENSG00000229344	1	MTCO2P12	unprocessed_pseudogene	2	HGNC:52028	OTTHUMG00000002334.1	
chr1	633535	633741	+	ENSG00000240409.1	ENSG00000240409	1	MTATP8P1	unprocessed_pseudogene	2	HGNC:44571	OTTHUMG00000002473.1	overlapping_locus
chr1	633696	634376	+	ENSG00000248527.1	ENSG00000248527	1	MTATP6P1	unprocessed_pseudogene	2	HGNC:44575	OTTHUMG00000002335.2	overlapping_locus
chr1	634376	634922	+	ENSG00000198744.5	ENSG00000198744	5	MTCO3P12	unprocessed_pseudogene	2	HGNC:52042	OTTHUMG00000002337.2	
chr1	674842	675265	+	ENSG00000268663.1	ENSG00000268663	1	WBP1LP6	processed_pseudogene	1	HGNC:43956	OTTHUMG00000002340.3	pseudo_consens
chr1	685716	686654	-	ENSG00000284662.2	ENSG00000284662	2	OR4F16	protein_coding	2	HGNC:15079	OTTHUMG00000002581.3	
chr1	720024	720206	-	ENSG00000230021.11	ENSG00000230021	11	ENSG00000230021	transcribed_processed_pseudogene	2		OTTHUMG00000191652.4	
chr1	722092	724903	+	ENSG00000229376.3	ENSG00000229376	3	CICP3	processed_pseudogene	1	HGNC:37742	OTTHUMG00000057431.3	pseudo_consens
chr1	758233	758336	-	ENSG00000223181.1	ENSG00000223181	1	RNU6-1199P	snRNA	3	HGNC:48162		
chr1	760911	761989	+	ENSG00000229905.1	ENSG00000229905	1	ENSG00000229905	lncRNA	2		OTTHUMG00000002408.1	
chr1	764723	774280	-	ENSG00000228327.6	ENSG00000228327	6	ENSG00000228327	transcribed_unprocessed_pseudogene	2		OTTHUMG00000002406.2	
chr1	778739	810066	+	ENSG00000237491.11	ENSG00000237491	11	LINC01409	lncRNA	2	HGNC:50701	OTTHUMG00000002404.21	
chr1	781937	782050	+	ENSG00000285268.1	ENSG00000285268	1	ENSG00000285268	transcribed_processed_pseudogene	2		OTTHUMG00000192553.1	overlapping_locus
chr1	805799	810161	-	ENSG00000230092.8	ENSG00000230092	8	ENSG00000230092	transcribed_unprocessed_pseudogene	2		OTTHUMG00000002403.3	overlapping_locus
chr1	817363	819842	+	ENSG00000177757.3	ENSG00000177757	3	FAM87B	lncRNA	2	HGNC:32236	OTTHUMG00000002471.2	
chr1	825138	868835	+	ENSG00000228794.13	ENSG00000228794	13	LINC01128	lncRNA	2	HGNC:49377	OTTHUMG00000196004.1	
chr1	833098	835618	-	ENSG00000297178.1	ENSG00000297178	1	ENSG00000297178	lncRNA	2			
chr1	850902	852130	-	ENSG00000297224.1	ENSG00000297224	1	ENSG00000297224	lncRNA	2			
chr1	868052	877032	-	ENSG00000230368.3	ENSG00000230368	3	FAM41C	lncRNA	2	HGNC:27635	OTTHUMG00000002469.1	
chr1	873292	874349	+	ENSG00000234711.1	ENSG00000234711	1	TUBB8P11	unprocessed_pseudogene	1	HGNC:32337	OTTHUMG00000002470.2	pseudo_consens
chr1	874529	877234	-	ENSG00000283040.1	ENSG00000283040	1	ENSG00000283040	transcribed_unprocessed_pseudogene	2		OTTHUMG00000191520.1	
chr1	882161	889297	+	ENSG00000296088.1	ENSG00000296088	1	ENSG00000296088	lncRNA	2			
chr1	904786	921034	+	ENSG00000272438.2	ENSG00000272438	2	ENSG00000272438	lncRNA	2		OTTHUMG00000185550.1	overlapping_locus
chr1	908073	910592	-	ENSG00000298603.1	ENSG00000298603	1	ENSG00000298603	lncRNA	2			
chr1	916865	925614	-	ENSG00000223764.3	ENSG00000223764	3	LINC02593	lncRNA	2	HGNC:53933	OTTHUMG00000040718.2	
chr1	923895	944590	+	ENSG00000187634.15	ENSG00000187634	15	SAMD11	protein_coding	2	HGNC:28706	OTTHUMG00000040719.11	
chr1	943527	960714	-	ENSG00000188976.13	ENSG00000188976	13	NOC2L	protein_coding	2	HGNC:24517	OTTHUMG00000040720.2	
chr1	960555	965721	+	ENSG00000187961.17	ENSG00000187961	17	KLHL17	protein_coding	2	HGNC:24023	OTTHUMG00000040721.8	
chr1	966437	975865	+	ENSG00000187583.13	ENSG00000187583	13	PLEKHN1	protein_coding	2	HGNC:25284	OTTHUMG00000040756.5	
chr1	975194	982137	-	ENSG00000187642.12	ENSG00000187642	12	PERM1	protein_coding	2	HGNC:28208	OTTHUMG00000040757.3	
chr1	982505	989967	+	ENSG00000303599.1	ENSG00000303599	1	ENSG00000303599	lncRNA	2			
chr1	995966	998051	-	ENSG00000272512.1	ENSG00000272512	1	ENSG00000272512	lncRNA	2		OTTHUMG00000185581.1	
chr1	998962	1000825	-	ENSG00000188290.13	ENSG00000188290	13	HES4	protein_coding	2	HGNC:24149	OTTHUMG00000040758.2	
chr1	1000715	1001068	+	ENSG00000303623.1	ENSG00000303623	1	ENSG00000303623	lncRNA	2			
chr1	1001138	1014540	+	ENSG00000187608.11	ENSG00000187608	11	ISG15	protein_coding	2	HGNC:4053	OTTHUMG00000040777.4	
chr1	1004058	1006442	-	ENSG00000303614.1	ENSG00000303614	1	ENSG00000303614	lncRNA	2			
chr1	1008076	1008229	-	ENSG00000231702.2	ENSG00000231702	2	ENSG00000231702	processed_pseudogene	2		OTTHUMG00000040759.3	
chr1	1011997	1013193	-	ENSG00000224969.1	ENSG00000224969	1	ENSG00000224969	lncRNA	1		OTTHUMG00000040779.1	
chr1	1020069	1056119	+	ENSG00000188157.17	ENSG00000188157	17	AGRN	protein_coding	2	HGNC:329	OTTHUMG00000040778.7	overlapping_locus
chr1	1055033	1056116	+	ENSG00000242590.1	ENSG00000242590	1	ENSG00000242590	lncRNA	2		OTTHUMG00000040780.1	overlapping_locus
chr1	1058461	1066464	+	ENSG00000291156.2	ENSG00000291156	2	ENSG00000291156	lncRNA	2			overlaps_pseudogene
chr1	1061267	1064278	-	ENSG00000273443.2	ENSG00000273443	2	ENSG00000273443	lncRNA	2		OTTHUMG00000186253.1	
chr1	1063079	1069355	+	ENSG00000217801.13	ENSG00000217801	13	PTPN11BP	transcribed_unprocessed_pseudogene	2	HGNC:58112	OTTHUMG00000000629.5	
chr1	1065634	1069347	-	ENSG00000304119.1	ENSG00000304119	1	ENSG00000304119	lncRNA	2			
chr1	1069213	1072933	+	ENSG00000304169.1	ENSG00000304169	1	ENSG00000304169	lncRNA	2			
chr1	1070967	1074306	-	ENSG00000237330.3	ENSG00000237330	3	RNF223	protein_coding	2	HGNC:40020	OTTHUMG00000185582.2	
chr1	1081811	1116361	-	ENSG00000131591.20	ENSG00000131591	20	C1orf159	protein_coding	2	HGNC:26062	OTTHUMG00000000745.9	
chr1	1097585	1104598	+	ENSG00000285812.1	ENSG00000285812	1	ENSG00000285812	lncRNA	2		OTTHUMG00000193099.1	
chr1	1126312	1129023	-	ENSG00000299943.1	ENSG00000299943	1	ENSG00000299943	lncRNA	2			
chr1	1137017	1144056	+	ENSG00000223823.1	ENSG00000223823	1	LINC01342	lncRNA	2	HGNC:50551	OTTHUMG00000000827.1	
chr1	1157405	1158254	-	ENSG00000304965.1	ENSG00000304965	1	ENSG00000304965	lncRNA	2			
chr1	1167104	1167198	+	ENSG00000207730.3	ENSG00000207730	3	MIR200B	miRNA	3	HGNC:31579		
chr1	1167863	1167952	+	ENSG00000207607.3	ENSG00000207607	3	MIR200A	miRNA	3	HGNC:31578		
chr1	1169005	1169087	+	ENSG00000198976.1	ENSG00000198976	1	MIR429	miRNA	3	HGNC:13784		
chr1	1169357	1170343	+	ENSG00000272141.1	ENSG00000272141	1	ENSG00000272141	lncRNA	2		OTTHUMG00000185583.1	
chr1	1173056	1179555	-	ENSG00000205231.1	ENSG00000205231	1	TTLL10-AS1	lncRNA	2	HGNC:41159	OTTHUMG00000000850.1	
chr1	1173880	1197940	+	ENSG00000162571.16	ENSG00000162571	16	TTLL10	protein_coding	2	HGNC:26693	OTTHUMG00000000851.6	
chr1	1203508	1206814	-	ENSG00000186891.15	ENSG00000186891	15	TNFRSF18	protein_coding	2	HGNC:11914	OTTHUMG00000001414.5	
chr1	1211326	1214153	-	ENSG00000186827.13	ENSG00000186827	13	TNFRSF4	protein_coding	2	HGNC:11918	OTTHUMG00000001415.5	
chr1	1216887	1240964	-	ENSG00000078808.22	ENSG00000078808	22	SDF4	protein_coding	2	HGNC:24188	OTTHUMG00000001812.7	
chr1	1232237	1235041	+	ENSG00000176022.7	ENSG00000176022	7	B3GALT6	protein_coding	2	HGNC:17978	OTTHUMG00000001813.3	retrogene
chr1	1242446	1246934	-	ENSG00000184163.4	ENSG00000184163	4	C1QTNF12	protein_coding	2	HGNC:32308	OTTHUMG00000001412.6	
chr1	1249777	1251334	-	ENSG00000260179.1	ENSG00000260179	1	ENSG00000260179	lncRNA	2		OTTHUMG00000175732.1	
chr1	1253907	1274477	-	ENSG00000160087.23	ENSG00000160087	23	UBE2J2	protein_coding	2	HGNC:19268	OTTHUMG00000001911.9	
chr1	1274033	1280420	+	ENSG00000230415.2	ENSG00000230415	2	LINC01786	lncRNA	2	HGNC:52575	OTTHUMG00000002234.2	
chr1	1280436	1292029	+	ENSG00000162572.22	ENSG00000162572	22	SCNN1D	protein_coding	2	HGNC:10601	OTTHUMG00000002081.8	
chr1	1292376	1309609	-	ENSG00000131584.21	ENSG00000131584	21	ACAP3	protein_coding	2	HGNC:16754	OTTHUMG00000002235.5	ncRNA_host
chr1	1296110	1296170	-	ENSG00000278073.1	ENSG00000278073	1	MIR6726	miRNA	3	HGNC:50009		
chr1	1308547	1311679	+	ENSG00000169972.15	ENSG00000169972	15	PUSL1	protein_coding	2	HGNC:26914	OTTHUMG00000003361.4	
chr1	1311585	1324688	-	ENSG00000127054.24	ENSG00000127054	24	INTS11	protein_coding	1	HGNC:26052	OTTHUMG00000003330.13	ncRNA_host,overlapping_locus
chr1	1312502	1312566	-	ENSG00000283712.1	ENSG00000283712	1	MIR6727	miRNA	3	HGNC:50171		
chr1	1317581	1318689	-	ENSG00000240731.1	ENSG00000240731	1	ENSG00000240731	lncRNA	2		OTTHUMG00000003331.1	overlapping_locus
chr1	1324756	1328897	+	ENSG00000224051.9	ENSG00000224051	9	CPTP	protein_coding	2	HGNC:28116	OTTHUMG00000003171.4	
chr1	1331275	1335314	+	ENSG00000169962.6	ENSG00000169962	6	TAS1R3	protein_coding	2	HGNC:15661	OTTHUMG00000003071.2	
chr1	1335275	1349962	-	ENSG00000107404.23	ENSG00000107404	23	DVL1	protein_coding	2	HGNC:3084	OTTHUMG00000003069.5	ncRNA_host
chr1	1339650	1339708	-	ENSG00000284372.1	ENSG00000284372	1	MIR6808	miRNA	3	HGNC:50046		
chr1	1348183	1362350	+	ENSG00000304860.1	ENSG00000304860	1	ENSG00000304860	lncRNA	2			
chr1	1352683	1361800	-	ENSG00000162576.19	ENSG00000162576	19	MXRA8	protein_coding	2	HGNC:7542	OTTHUMG00000002973.5	
chr1	1373710	1375521	-	ENSG00000175756.16	ENSG00000175756	16	AURKAIP1	protein_coding	2	HGNC:24114	OTTHUMG00000001413.3	
chr1	1378666	1379032	+	ENSG00000223663.2	ENSG00000223663	2	NDUFB4P8	processed_pseudogene	1	HGNC:45256	OTTHUMG00000002972.2	pseudo_consens
chr1	1385709	1400909	-	ENSG00000221978.15	ENSG00000221978	15	CCNL2	protein_coding	2	HGNC:20570	OTTHUMG00000002917.7	
chr1	1399476	1402054	+	ENSG00000224870.10	ENSG00000224870	10	MRPL20-AS1	lncRNA	2	HGNC:27125	OTTHUMG00000002908.6	
chr1	1401907	1407306	-	ENSG00000242485.8	ENSG00000242485	8	MRPL20	protein_coding	1	HGNC:14478	OTTHUMG00000002916.4	ncRNA_host
chr1	1405460	1405752	-	ENSG00000264293.2	ENSG00000264293	2	RN7SL657P	misc_RNA	3	HGNC:46673		
chr1	1407358	1408306	+	ENSG00000301639.1	ENSG00000301639	1	ENSG00000301639	lncRNA	2			
chr1	1409096	1410618	+	ENSG00000272455.1	ENSG00000272455	1	MRPL20-DT	lncRNA	2	HGNC:54814	OTTHUMG00000185586.1	
chr1	1415637	1421769	-	ENSG00000235098.11	ENSG00000235098	11	ANKRD65	protein_coding	1	HGNC:42950	OTTHUMG00000002911.4	
chr1	1420245	1423287	+	ENSG00000225905.2	ENSG00000225905	2	ANKRD65-AS1	lncRNA	2	HGNC:55844	OTTHUMG00000002912.1	
chr1	1425871	1430255	+	ENSG00000205116.4	ENSG00000205116	4	TMEM278	protein_coding	2	HGNC:37099	OTTHUMG00000153395.3	
chr1	1429194	1435625	-	ENSG00000225285.2	ENSG00000225285	2	LINC01770	lncRNA	1	HGNC:52560	OTTHUMG00000002915.2	
chr1	1434861	1446012	+	ENSG00000179403.14	ENSG00000179403	14	VWA1	protein_coding	1	HGNC:30910	OTTHUMG00000002975.6	
chr1	1449689	1470163	+	ENSG00000215915.10	ENSG00000215915	10	ATAD3C	protein_coding	2	HGNC:32151	OTTHUMG00000000531.8	
chr1	1471742	1497848	+	ENSG00000160072.22	ENSG00000160072	22	ATAD3B	protein_coding	2	HGNC:24007	OTTHUMG00000000577.6	
chr1	1503224	1509526	+	ENSG00000290916.2	ENSG00000290916	2	ENSG00000290916	lncRNA	2			overlaps_pseudogene
chr1	1503582	1509351	+	ENSG00000284740.3	ENSG00000284740	3	ENSG00000284740	transcribed_unprocessed_pseudogene	2		OTTHUMG00000192278.1	
chr1	1512118	1534689	+	ENSG00000197785.16	ENSG00000197785	16	ATAD3A	protein_coding	2	HGNC:25567	OTTHUMG00000000575.7	
chr1	1534778	1540624	-	ENSG00000205090.10	ENSG00000205090	10	TMEM240	protein_coding	2	HGNC:25186	OTTHUMG00000042193.4	
chr1	1539564	1592377	+	ENSG00000299413.1	ENSG00000299413	1	ENSG00000299413	lncRNA	2			
chr1	1541673	1574887	-	ENSG00000160075.14	ENSG00000160075	14	SSU72	protein_coding	2	HGNC:25016	OTTHUMG00000000576.6	
chr1	1574102	1577075	+	ENSG00000215014.5	ENSG00000215014	5	SSU72-AS1	lncRNA	2	HGNC:57014	OTTHUMG00000186983.2	
chr1	1583510	1583909	-	ENSG00000274481.1	ENSG00000274481	1	SRXN1P2	processed_pseudogene	2	HGNC:58623	OTTHUMG00000187518.1	
chr1	1598012	1600135	-	ENSG00000228594.4	ENSG00000228594	4	FNDC10	protein_coding	2	HGNC:42951	OTTHUMG00000154864.5	
chr1	1600182	1607327	+	ENSG00000286989.2	ENSG00000286989	2	ENSG00000286989	lncRNA	2		OTTHUMG00000195682.1	
chr1	1613758	1615795	-	ENSG00000272106.1	ENSG00000272106	1	ENSG00000272106	lncRNA	2		OTTHUMG00000185588.1	
chr1	1615433	1630610	+	ENSG00000197530.15	ENSG00000197530	15	MIB2	protein_coding	1	HGNC:30577	OTTHUMG00000074647.10	
chr1	1631660	1635263	+	ENSG00000189409.16	ENSG00000189409	16	MMP23B	protein_coding	2	HGNC:7171	OTTHUMG00000074713.7	
chr1	1635225	1659267	-	ENSG00000248333.11	ENSG00000248333	11	CDK11B	protein_coding	2	HGNC:1729	OTTHUMG00000078638.6	
chr1	1659027	1662939	+	ENSG00000272004.2	ENSG00000272004	2	ENSG00000272004	lncRNA	2		OTTHUMG00000185638.1	
chr1	1659529	1693059	-	ENSG00000189339.14	ENSG00000189339	14	SLC35E2B	protein_coding	2	HGNC:33941	OTTHUMG00000078639.4	
chr1	1671990	1673411	+	ENSG00000293187.1	ENSG00000293187	1	ENSG00000293187	lncRNA	2			overlaps_pseudogene
chr1	1673275	1674397	+	ENSG00000269737.3	ENSG00000269737	3	ENSG00000269737	transcribed_processed_pseudogene	1		OTTHUMG00000182605.1	pseudo_consens,overlapping_locus
chr1	1692528	1701814	+	ENSG00000310190.1	ENSG00000310190	1	ENSG00000310190	lncRNA	2			overlapping_locus,overlaps_pseudogene
chr1	1698620	1700731	-	ENSG00000310238.1	ENSG00000310238	1	ENSG00000310238	lncRNA	2			
chr1	1699942	1701782	+	ENSG00000215914.4	ENSG00000215914	4	MMP23A	transcribed_unprocessed_pseudogene	2	HGNC:7170	OTTHUMG00000000585.6	overlapping_locus
chr1	1702379	1724571	-	ENSG00000008128.25	ENSG00000008128	25	CDK11A	protein_coding	2	HGNC:1730	OTTHUMG00000000703.16	overlapping_locus
chr1	1702736	1737688	-	ENSG00000268575.1	ENSG00000268575	1	ENSG00000268575	lncRNA	2		OTTHUMG00000183552.1	overlapping_locus
chr1	1724194	1736519	+	ENSG00000293188.2	ENSG00000293188	2	ENSG00000293188	lncRNA	2			overlaps_pseudogene
chr1	1724838	1745992	-	ENSG00000290854.2	ENSG00000290854	2	ENSG00000290854	lncRNA	2			overlaps_pseudogene
chr1	1734690	1739557	-	ENSG00000215790.9	ENSG00000215790	9	SLC35E2A	transcribed_unprocessed_pseudogene	2	HGNC:20863	OTTHUMG00000000823.6	overlapping_locus
chr1	1735817	1737251	+	ENSG00000227775.4	ENSG00000227775	4	ENSG00000227775	transcribed_processed_pseudogene	1		OTTHUMG00000000825.3	pseudo_consens
chr1	1751232	1780544	-	ENSG00000008130.17	ENSG00000008130	17	NADK	protein_coding	2	HGNC:29831	OTTHUMG00000000942.6	
chr1	1783129	1796057	+	ENSG00000302550.1	ENSG00000302550	1	ENSG00000302550	lncRNA	2			
chr1	1785285	1892292	-	ENSG00000078369.21	ENSG00000078369	21	GNB1	protein_coding	1	HGNC:4396	OTTHUMG00000000940.9	
chr1	1891175	1892835	+	ENSG00000231050.4	ENSG00000231050	4	GNB1-DT	lncRNA	2	HGNC:55772	OTTHUMG00000000941.1	
chr1	1891400	1891754	-	ENSG00000303984.1	ENSG00000303984	1	ENSG00000303984	lncRNA	2			overlapping_locus
chr1	1906002	1909117	-	ENSG00000294910.1	ENSG00000294910	1	ENSG00000294910	lncRNA	2			
chr1	1909317	1910418	+	ENSG00000306476.1	ENSG00000306476	1	ENSG00000306476	lncRNA	2			
chr1	1915081	1917296	+	ENSG00000169885.11	ENSG00000169885	11	CALML6	protein_coding	1	HGNC:24193	OTTHUMG00000000943.3	
chr1	1917589	1919329	-	ENSG00000178821.15	ENSG00000178821	15	TMEM52	protein_coding	2	HGNC:27916	OTTHUMG00000000944.8	
chr1	1921951	2003837	-	ENSG00000142609.21	ENSG00000142609	21	CFAP74	protein_coding	1	HGNC:29368	OTTHUMG00000000945.17	confirm_experimentally
chr1	2013198	2019198	-	ENSG00000233542.3	ENSG00000233542	3	ENSG00000233542	lncRNA	2		OTTHUMG00000041065.2	
chr1	2019305	2030758	+	ENSG00000187730.11	ENSG00000187730	11	GABRD	protein_coding	2	HGNC:4084	OTTHUMG00000041064.6	
chr1	2033503	2047450	-	ENSG00000304958.1	ENSG00000304958	1	ENSG00000304958	lncRNA	2			
chr1	2049202	2050176	-	ENSG00000226969.2	ENSG00000226969	2	PRKCZ-DT	lncRNA	2	HGNC:55824	OTTHUMG00000041087.1	
chr1	2050396	2185721	+	ENSG00000067606.19	ENSG00000067606	19	PRKCZ	protein_coding	1	HGNC:9412	OTTHUMG00000001238.14	
chr1	2103345	2104917	-	ENSG00000308181.1	ENSG00000308181	1	ENSG00000308181	lncRNA	2			
chr1	2141084	2145279	-	ENSG00000271806.1	ENSG00000271806	1	ENSG00000271806	lncRNA	2		OTTHUMG00000185365.1	
chr1	2181794	2184389	-	ENSG00000182873.5	ENSG00000182873	5	PRKCZ-AS1	lncRNA	1	HGNC:40477	OTTHUMG00000001239.2	
chr1	2184411	2212720	-	ENSG00000162585.19	ENSG00000162585	19	FAAP20	protein_coding	2	HGNC:26428	OTTHUMG00000001404.8	
chr1	2207046	2208854	+	ENSG00000304038.1	ENSG00000304038	1	ENSG00000304038	lncRNA	2			
chr1	2212523	2220738	+	ENSG00000234396.3	ENSG00000234396	3	ENSG00000234396	lncRNA	2		OTTHUMG00000001405.2	
chr1	2212965	2214206	-	ENSG00000304143.1	ENSG00000304143	1	ENSG00000304143	lncRNA	2			
chr1	2227388	2310213	+	ENSG00000157933.13	ENSG00000157933	13	SKI	protein_coding	2	HGNC:10896	OTTHUMG00000001407.4	
chr1	2300846	2301069	-	ENSG00000295493.1	ENSG00000295493	1	ENSG00000295493	lncRNA	2			
chr1	2314917	2323085	+	ENSG00000287356.2	ENSG00000287356	2	ENSG00000287356	lncRNA	2		OTTHUMG00000193849.2	
